#	thds	sz	sfrac		time(s)	
	16	16384	1.000000	0.273647
	16	16384	1.000000	0.213568
	16	16384	1.000000	0.134845
	16	16384	1.000000	0.216294
	16	16384	1.000000	0.175602
	16	16384	1.000000	0.211472
	16	16384	1.000000	0.187841
	10	100	1.000000	0.105164
	16	1024	1.000000	0.124505
	16	1024	5.000000	0.208524
	16	1024	2.000000	0.173115
	16	1024	2.000000	0.177501
	16	1024	2.000000	0.124300
	16	1024	2.000000	0.000000
	16	1024	2.000000	0.000000
	16	16384	1.000000	0.199438
	16	1024	2.000000	0.081042
	16	1024	2.000000	0.070954
	16	1024	2.000000	0.072296
	16	1024	2.000000	0.077168
	16	1024	2.000000	0.084148
	16	1024	2.000000	0.059098
	16	1024	100.000000	0.642407
	16	4096	10.000000	0.340674
	16	4096	10.000000	0.206174
	16	4096	10.000000	0.285061
	16	4096	10.000000	0.267327
	16	4096	10.000000	0.323633
	16	4096	10.000000	0.273341
	16	4096	10.000000	0.282442
	16	4096	10.000000	0.311473
	16	4096	10.000000	0.285580
	16	4096	10.000000	0.297867
	16	4096	10.000000	0.000000
	16	4096	10.000000	0.000000
	16	4096	10.000000	0.286973
	16	4096	10.000000	0.285084
	16	4096	10.000000	0.224475
	16	4096	4.000000	0.146689
	16	4096	0.500000	0.584614
	16	8192	0.500000	1.014505
	16	16384	0.500000	2.221423
	16	32786	0.500000	4.090317
	16	32786	0.000000	7.641540
	16	32786	0.000000	7.636362
	16	32786	0.500000	4.236154
	16	32786	0.500000	1.274076
	16	32786	0.500000	0.709150
	16	32786	0.000000	1.246431
	16	32786	0.000000	1.260976
	16	32786	0.000000	0.680020
	16	32786	0.000000	21.512684
	16	32786	1.000000	0.188348
	16	32786	1.000000	0.220102
	16	32786	1.000000	0.199536
	16	32786	0.900000	3.628863
	16	32786	0.900000	1.076858
	16	32786	0.900000	0.297152
	16	32786	0.900000	0.299687
	16	32786	0.900000	0.279924
	16	32786	0.900000	0.251259
	16	32786	0.900000	0.280252
	16	32786	0.900000	0.292799
	16	32786	0.900000	0.249653
	16	32786	0.900000	0.242093
	16	32786	0.900000	0.273197
	16	32786	0.900000	0.274244
	16	32786	0.900000	0.240778
	16	32786	0.900000	0.169284
	16	32786	0.900000	0.209732
	16	32786	0.900000	0.272001
	16	32786	0.900000	0.233699
	16	32786	0.900000	0.233214
	16	32786	0.950000	0.201277
	16	32786	0.950000	0.245381
	16	32786	0.950000	0.191764
	16	32786	0.950000	0.199795
	16	32786	0.950000	0.241368
	16	32786	0.950000	0.214142
	16	32786	0.800000	0.233265
	16	32786	0.800000	0.247404
	16	32786	0.800000	0.275914
	16	32786	0.750000	0.269801
	16	32786	0.750000	0.293029
	16	32786	0.750000	0.305741
	16	32786	0.750000	0.265341
	16	32786	0.750000	0.290510
	16	32786	0.750000	0.311318
	16	32786	0.750000	0.288947
	16	32786	0.750000	0.303062
	16	32786	0.750000	0.361557
	16	32786	0.750000	0.288793
	16	32786	0.750000	0.288446
	16	32786	0.750000	0.300875
	16	32786	0.750000	0.379869
	16	32786	0.750000	0.296575
	16	32786	0.750000	0.289486
	16	32786	0.750000	0.287944
	16	32786	0.750000	0.305535
